,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194
MYC_LMAN1,4.979364404330583,5.693862476780716,5.0563244044852125,5.193903862445741,4.692108823628344,5.062859063415581,5.3505487307025925,5.493917182010674,5.686769101472566,5.760378066785131,5.87553389283033,6.074075384055253,5.797664490601131,5.608985384025599,5.650484928317474,5.504115916304687,5.532958769067041,5.6249496010687485,5.573827782855296,5.419885369109927,5.749062290231067,5.839327620537637,5.793026163570734,5.784906819135778,5.603020467322463,5.803574356926817,5.744377582746044,5.611044744067699,5.36506355342712,5.039667596546648,5.324190484603207,5.257905302790292,5.208788631327228,5.09645668783601,5.192343890469803,5.213683390607979,5.157441526316143,5.2373744384519325,-inf,-inf,-inf,-inf,5.332795346740748,5.1850318039890855,5.184721387884332,4.932297805306377,5.025696471596754,5.060781319488963,5.081322540242635,4.9453144287109225,4.782028939208577,4.792816278101509,5.1295746369577255,5.368111993073923,5.196079509022407,5.082012600800455,5.01826153716653,5.203759558770854,5.174308492225064,4.9901729708443705,4.832746443205673,4.927696263586747,5.001195630664603,5.147547821502656,5.195338211191883,5.219068305730626,5.254228738474339,5.355730190344272,5.234362557118833,5.1290146440322015,5.053163803019706,5.085153166447127,5.009852194061625,5.025801434772162,4.938947885887593,4.865839553912971,4.998981937618551,5.302263440250366,5.216701000551439,5.319147165944584,5.246850934411372,5.2337550073943255,5.278423374903396,5.189766287649317,4.57650873351607,5.044459505094509,5.066093183758023,4.997338670622362,5.054071783047475,5.032552400583781,5.016912357403264,5.089099149750996,5.2753848273692325,5.283369047821156,5.359626276680548,5.412469558082901,5.496422732021757,5.776640616202555,-inf,-inf,5.243056304167239,5.094220958328117,5.226351642904165,5.392796958827642,5.320503524933171,5.2265925606962,5.258414659387678,5.259699538949467,5.328668615767488,5.265971343537571,5.164970184852363,5.335094114639008,5.391711292243468,5.260919044537993,5.27328102427238,5.189030188029959,5.418181720196484,5.297526743862687,4.917711673284555,5.071681704107654,-inf,-inf,-inf,-inf,4.954918364802999,-inf,-inf,5.0031475772026806,5.3583566192997685,5.427567704661908,5.232936739507633,5.246300984635533,5.480946558909317,5.523926294950415,5.342158527972823,5.218349210249399,5.25995045746243,5.196394279334839,5.335617704865278,5.6061511753426085,5.447802402160719,5.498870786474204,5.631377209605644,3.742385349438341,-inf,-inf,-inf,-inf,-inf,5.261895969202266,5.490174917425395,5.428411597150024,5.458575511985236,5.40214232834798,5.611188675546159,5.527012335581889,5.396847871002419,5.197429662228262,5.216846825535537,4.9037378042132085,4.552015738853903,-inf,-inf,4.513609455265084,4.6177784286350505,4.571268144962295,4.745655951369501,5.199901617440065,5.287937300165129,5.189048724416455,5.314778227750201,5.340253749267698,5.340990215619678,5.299562189469403,5.249310999501813,5.23014572745883,5.2924750289900855,-inf,5.11082919130977,5.157658822148357,-inf,5.224129013272743,-inf,-inf,4.991482624051471,4.937728638566278,-inf,-inf,4.938334997482918,-inf,4.688154181724876,4.54505341974658,4.50584651121554,5.095349628762592
PAX5_CD19,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,3.629599419960652,3.796391802465149,3.808200130119511,-inf,-inf,-inf,4.226340263500852,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,3.7564323118965777,3.631687929951829,3.676904695903895,3.9149823122062655,3.7505013503751945,3.5997134363733165,-inf,-inf,-inf,-inf,-inf,-inf,-inf
IRF4_PRDM1,-inf,-inf,5.233861537625501,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,4.946108763103454,5.096084382641263,5.488907790111655,5.393512695722952,5.17840112094968,5.131064684467661,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,4.667920328878052,4.671075835469061,4.595334811487718,4.589062928452124,4.77305508437638,4.544691736850591,4.679208190889484,4.655412769944593,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,4.697519390846787,4.461425171350562,-inf,4.599151105065093,4.737844983913607,4.496787908862765,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,5.001674911472644,5.224786766933067,5.251231704973424,5.236380284533745,5.274124948342126,5.232494057218512,5.297512469712219,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,3.9882391480413655,4.33598700012246,4.360047115642519,4.403818021502351,4.132021264414528,-inf,-inf,5.109903009793581,5.205459478930135,5.3694942863893305,5.57333925060292,5.783161243069409,5.686930563580181,5.743967421914236,5.450372127362543,5.301129073859479,5.384070488316829,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,4.904391674515754,4.904581685419769,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
